Name,Branch,Field of Interest,Domain of Interest,Languages Known,Frameworks Used,Tools Experience,Technologies to Learn,Project Duration,Open-Source Contribution,Achievements
Roberto Bennett,Mechanical Engineering,"['IoT', 'computational theory', 'computer vision']","['web and mobile development', 'artificial intelligence and machine learning', 'game development']","['MATLAB', 'R', 'SQL']","['Express.js', 'Flask']","['Ansible', 'Azure', 'Elasticsearch']","['Azure', 'Git', 'PyTorch']",1 week,Contributed to XYZ project,No achievements
Ronald Rios,Computer Science,"['data science', 'system architecture']","['human-computer interaction', 'blockchain', 'web and mobile development']","['PHP', 'Scala', 'JavaScript', 'Go', 'Ruby']",['Meteor'],"['MySQL', 'Kubernetes', 'PostgreSQL', 'MongoDB']","['Jenkins', 'GitHub']",1 week,No open-source contribution,No achievements
Stacy Brady,Electronics and Communication,"['deep learning', 'network engineering']","['robotics', 'IoT']","['PHP', 'R']",['Laravel'],"['TensorFlow', 'Azure', 'PyTorch']",['GitLab'],1 week,Contributed to XYZ project,No achievements
David Padilla,Electrical Engineering,"['ethical hacking', 'software engineering']",['IoT'],['C++'],"['Vue.js', 'Ember.js', 'Django', 'Flutter']","['TensorFlow', 'Kubernetes', 'MongoDB']","['Redis', 'MongoDB']",1 month,No open-source contribution,No achievements
James Johnson,Information Technology,"['computational biology', 'network engineering']",['quantum computing'],['Go'],"['Svelte', 'Flutter', 'Next.js']",['TensorFlow'],"['PyTorch', 'Elasticsearch']",1 week,Contributed to XYZ project,No achievements
Sophia Anderson,Mechanical Engineering,"['system architecture', 'web app development']","['game development', 'bioinformatics']","['Scala', 'Go']","['Meteor', 'Vue.js', 'Ionic']","['AWS', 'Git', 'TensorFlow', 'Jenkins']","['Jenkins', 'MySQL', 'TensorFlow', 'Keras']",1 week,No open-source contribution,No achievements
Tonya Reyes,Information Technology,"['edge computing', 'business intelligence', 'big data']","['game development', 'cybersecurity']",['C#'],"['Flutter', 'Vue.js']","['Google Cloud', 'Kubernetes']","['GitHub', 'Ansible']",1 month,No open-source contribution,No achievements
David Garrett,Computer Science,['deep learning'],['IoT'],['Python'],"['Spring Boot', 'Flask']","['MySQL', 'GitHub']","['Jenkins', 'Google Cloud', 'PostgreSQL']",1 month,Contributed to XYZ project,Awarded XYZ in Computer Science
Taylor White,Information Technology,['machine learning'],"['artificial intelligence and machine learning', 'IoT', 'web and mobile development']",['JavaScript'],"['Ionic', 'Django', 'React Native', 'Ruby on Rails']",['Azure'],"['Kubernetes', 'TensorFlow']",2 months,Contributed to XYZ project,No achievements
Craig Sims,Computer Science,['cryptography'],"['blockchain', 'artificial intelligence and machine learning', 'web and mobile development']","['Swift', 'Shell Scripting', 'PHP', 'TypeScript']","['Flutter', 'Laravel', 'Flask', 'React']","['Keras', 'TensorFlow', 'Jenkins', 'Git']","['Elasticsearch', 'AWS']",2 months,Contributed to XYZ project,No achievements
Isabel Wall,Computer Science,['data science'],['IoT'],"['Go', 'R', 'C++', 'JavaScript']","['Ruby on Rails', 'NestJS']","['TensorFlow', 'Elasticsearch', 'MongoDB', 'TensorFlow']","['Redis', 'GitHub', 'Git']",1 month,Contributed to XYZ project,No achievements
John Hernandez,Computer Science,"['human-computer interaction', 'cloud security']","['web and mobile development', 'quantum computing', 'artificial intelligence and machine learning']","['TypeScript', 'SQL']","['Flask', 'NestJS', 'React Native', 'Angular']","['Redis', 'PyTorch']",['MongoDB'],2 months,Contributed to XYZ project,No achievements
Dr. Cynthia Ramsey,Electronics and Communication,['blockchain'],['human-computer interaction'],"['Go', 'MATLAB', 'Shell Scripting', 'JavaScript', 'R']",['Spring Boot'],"['PostgreSQL', 'Elasticsearch']","['Azure', 'Kubernetes', 'Elasticsearch']",1 week,Contributed to XYZ project,No achievements
Anthony Dunlap,Information Technology,"['blockchain', 'bioinformatics']","['quantum computing', 'data science and analytics', 'bioinformatics']","['C#', 'Objective-C', 'C++']",['Django'],"['Elasticsearch', 'GitHub', 'AWS']","['MySQL', 'Jenkins']",1 month,Contributed to XYZ project,No achievements
Ms. Christina Fletcher,Civil Engineering,"['parallel computing', 'deep learning', 'system architecture']",['cybersecurity'],"['Dart', 'Java', 'Swift', 'Kotlin', 'JavaScript']",['Spring Boot'],['Keras'],"['Keras', 'TensorFlow']",2 months,No open-source contribution,Awarded XYZ in Civil Engineering
Becky Flores,Computer Science,"['computer vision', 'reinforcement learning']","['bioinformatics', 'data science and analytics', 'quantum computing']","['C++', 'Dart', 'JavaScript', 'Shell Scripting', 'TypeScript']","['NestJS', 'React', 'Nuxt.js', 'Angular']","['TensorFlow', 'Azure', 'AWS']","['MongoDB', 'TensorFlow', 'Kubernetes']",2 months,No open-source contribution,No achievements
Derrick Bradley,Civil Engineering,['quantum computing'],"['data science and analytics', 'blockchain', 'web and mobile development']","['Objective-C', 'C++', 'Lua', 'Go']","['NestJS', 'Angular', 'Vue.js', 'Meteor']","['Keras', 'Elasticsearch']","['Elasticsearch', 'AWS']",1 week,Contributed to XYZ project,No achievements
Alicia Stewart,Mechanical Engineering,['human-computer interaction'],"['robotics', 'bioinformatics']","['Objective-C', 'JavaScript', 'C++', 'TypeScript', 'SQL']","['Angular', 'Meteor', 'Vue.js']","['Docker', 'GitHub', 'Ansible', 'Google Cloud']","['PostgreSQL', 'TensorFlow', 'Keras']",1 month,No open-source contribution,No achievements
Charles Obrien,Electrical Engineering,"['game development', 'computational biology', 'DevOps']","['artificial intelligence and machine learning', 'web and mobile development', 'human-computer interaction']","['MATLAB', 'R', 'Objective-C', 'Go']","['Laravel', 'NestJS']","['Redis', 'MongoDB', 'GitHub', 'Keras']","['Redis', 'Azure', 'MySQL', 'MongoDB']",1 week,No open-source contribution,No achievements
Abigail Mann,Civil Engineering,"['generative AI', 'game development', 'data engineering']","['game development', 'bioinformatics', 'human-computer interaction']","['SQL', 'Ruby', 'Dart']","['Ember.js', 'Blitz.js', 'Svelte']","['AWS', 'Kubernetes']","['AWS', 'Keras', 'GitLab', 'TensorFlow']",1 week,No open-source contribution,Awarded XYZ in Civil Engineering
Richard Williams,Civil Engineering,"['parallel computing', 'algorithms', 'embedded systems']",['artificial intelligence and machine learning'],"['Python', 'Kotlin', 'C', 'SQL']","['React Native', 'Laravel']",['PostgreSQL'],"['Google Cloud', 'GitLab', 'Elasticsearch', 'Jenkins']",2 months,No open-source contribution,Awarded XYZ in Civil Engineering
Sharon Johnson,Electronics and Communication,"['embedded systems', 'computational biology']",['data science and analytics'],"['Ruby', 'TypeScript']","['Ionic', 'Express.js']","['TensorFlow', 'TensorFlow', 'MongoDB']","['TensorFlow', 'MongoDB', 'GitHub']",2 months,No open-source contribution,No achievements
Steven Brown,Civil Engineering,"['generative AI', 'ethical hacking']","['cybersecurity', 'artificial intelligence and machine learning', 'quantum computing']","['Kotlin', 'Rust']","['Svelte', 'Express.js', 'Blitz.js']","['MySQL', 'Google Cloud']","['PostgreSQL', 'Google Cloud']",1 month,Contributed to XYZ project,Awarded XYZ in Civil Engineering
Benjamin Kane,Biotechnology,['algorithms'],"['human-computer interaction', 'quantum computing', 'artificial intelligence and machine learning']","['SQL', 'Kotlin']",['NestJS'],['Kubernetes'],"['Redis', 'AWS', 'Kubernetes']",2 months,No open-source contribution,Awarded XYZ in Biotechnology
Andrew Jacobs,Mechanical Engineering,"['software engineering', 'ethical hacking']","['bioinformatics', 'game development', 'cybersecurity']","['Swift', 'C#', 'C++', 'Objective-C']","['Flutter', 'React Native', 'Ember.js', 'Nuxt.js']","['Kubernetes', 'Google Cloud']",['Google Cloud'],1 week,No open-source contribution,No achievements
Angela Smith,Electronics and Communication,"['ethical hacking', 'computer architecture', 'computational biology']",['IoT'],"['JavaScript', 'PHP']","['Spring Boot', 'Laravel', 'Express.js', 'Flask']","['AWS', 'PyTorch', 'MySQL', 'Jenkins']","['Ansible', 'AWS', 'TensorFlow']",1 month,Contributed to XYZ project,No achievements
Michele Stephens,Biotechnology,"['digital signal processing', 'game development']","['web and mobile development', 'game development', 'quantum computing']","['Shell Scripting', 'C++']","['Ruby on Rails', 'NestJS', 'React Native', 'Angular']","['TensorFlow', 'GitLab', 'PyTorch', 'AWS']",['GitLab'],2 months,Contributed to XYZ project,No achievements
Carolyn Pollard,Information Technology,"['cryptography', 'computer vision', 'parallel computing']",['web and mobile development'],"['Ruby', 'R', 'Rust']","['Spring Boot', 'NestJS', 'Ember.js', 'Express.js']","['Ansible', 'PyTorch']",['Kubernetes'],1 month,Contributed to XYZ project,Awarded XYZ in Information Technology
Dennis Werner,Electronics and Communication,"['edge computing', 'artificial intelligence']","['human-computer interaction', 'blockchain']","['Kotlin', 'Scala', 'Shell Scripting', 'Objective-C']","['React Native', 'Ruby on Rails', 'Express.js']","['TensorFlow', 'Azure', 'Git']","['Docker', 'Git', 'Keras', 'PostgreSQL']",1 month,No open-source contribution,No achievements
Frederick Williams,Information Technology,"['computer architecture', 'system architecture', 'cryptography']","['human-computer interaction', 'bioinformatics']","['Kotlin', 'C#', 'TypeScript']",['Angular'],"['PyTorch', 'Elasticsearch', 'MySQL']","['TensorFlow', 'Jenkins']",2 months,Contributed to XYZ project,No achievements
Ryan Smith,Biotechnology,['data engineering'],"['robotics', 'IoT', 'cybersecurity']","['TypeScript', 'Rust']","['Angular', 'React Native', 'Spring Boot']","['GitHub', 'MySQL', 'Jenkins']",['Google Cloud'],1 month,No open-source contribution,No achievements
Kimberly Cook,Information Technology,"['cryptography', 'AR/VR', 'deep learning']","['blockchain', 'web and mobile development', 'cybersecurity']","['PHP', 'Ruby', 'TypeScript', 'C']",['Blitz.js'],['Ansible'],['Redis'],1 month,Contributed to XYZ project,Awarded XYZ in Information Technology
Kim Brown,Mechanical Engineering,"['embedded systems', 'ethical hacking', 'machine learning']",['game development'],['Go'],['React'],"['AWS', 'GitLab', 'Azure']","['TensorFlow', 'PostgreSQL', 'Elasticsearch']",2 months,No open-source contribution,Awarded XYZ in Mechanical Engineering
Nicholas Bond,Electronics and Communication,"['digital signal processing', 'cloud security', 'mobile app development']",['IoT'],"['Ruby', 'C']","['Spring Boot', 'Ionic', 'Laravel']","['Ansible', 'MongoDB', 'Kubernetes', 'Redis']","['Git', 'Google Cloud', 'TensorFlow', 'TensorFlow']",1 week,Contributed to XYZ project,No achievements
Jessica Schultz,Biotechnology,['blockchain'],"['game development', 'artificial intelligence and machine learning']",['Dart'],"['Django', 'Blitz.js', 'Meteor', 'NestJS']","['MongoDB', 'MySQL', 'GitHub']","['GitLab', 'TensorFlow']",1 month,No open-source contribution,No achievements
Jessica Summers,Electrical Engineering,['deep learning'],"['IoT', 'human-computer interaction']","['Scala', 'Java', 'Ruby']","['Svelte', 'Nuxt.js']","['TensorFlow', 'PostgreSQL', 'GitHub']","['MongoDB', 'PostgreSQL']",1 week,Contributed to XYZ project,No achievements
Ricky Mahoney,Electrical Engineering,['digital signal processing'],['bioinformatics'],"['Dart', 'TypeScript', 'Kotlin']","['Svelte', 'React', 'Flask', 'Angular']","['MySQL', 'Keras']","['Keras', 'PostgreSQL', 'Google Cloud', 'Jenkins']",2 months,No open-source contribution,No achievements
Dean Carroll,Mechanical Engineering,['robotics'],"['human-computer interaction', 'bioinformatics']",['Objective-C'],"['Spring Boot', 'Ember.js', 'React', 'Blitz.js']","['TensorFlow', 'Ansible']","['Keras', 'Elasticsearch', 'Git']",2 months,No open-source contribution,No achievements
Terry Gray,Computer Science,"['mobile app development', 'autonomous systems']",['quantum computing'],"['SQL', 'R']","['Svelte', 'React', 'Vue.js']","['PostgreSQL', 'Keras']","['Elasticsearch', 'PostgreSQL', 'Ansible']",1 month,No open-source contribution,No achievements
Kimberly Potter,Electronics and Communication,['business intelligence'],"['quantum computing', 'game development', 'robotics']",['SQL'],"['Next.js', 'React Native', 'Laravel', 'React']","['Jenkins', 'TensorFlow', 'Kubernetes']","['MySQL', 'Azure', 'Google Cloud']",1 week,Contributed to XYZ project,Awarded XYZ in Electronics and Communication
Mr. Timothy Banks MD,Civil Engineering,"['game development', 'digital signal processing']",['quantum computing'],"['JavaScript', 'C++', 'Dart', 'SQL']","['Laravel', 'React']","['Kubernetes', 'MongoDB', 'Git', 'Google Cloud']",['MySQL'],1 month,Contributed to XYZ project,Awarded XYZ in Civil Engineering
Jonathan Hayes,Computer Science,"['computational theory', 'deep learning', 'artificial intelligence']","['IoT', 'game development', 'data science and analytics']","['R', 'JavaScript', 'Swift']","['Ionic', 'Next.js', 'Nuxt.js']","['Ansible', 'Keras', 'PyTorch', 'GitHub']","['Keras', 'Docker', 'Ansible', 'TensorFlow']",1 month,No open-source contribution,No achievements
John Bush,Civil Engineering,"['edge computing', 'algorithms']","['human-computer interaction', 'IoT', 'bioinformatics']","['C', 'Objective-C']",['Laravel'],"['PostgreSQL', 'GitLab']","['Azure', 'PyTorch', 'Redis', 'MySQL']",1 week,No open-source contribution,No achievements
John Thompson,Information Technology,['parallel computing'],['game development'],['Dart'],['Ruby on Rails'],"['Kubernetes', 'Google Cloud', 'Redis', 'Elasticsearch']",['Elasticsearch'],1 week,Contributed to XYZ project,No achievements
Joe Rodriguez,Biotechnology,"['software engineering', 'deep learning']","['game development', 'human-computer interaction', 'bioinformatics']",['Shell Scripting'],"['Express.js', 'Spring Boot', 'React Native']","['TensorFlow', 'AWS']","['Keras', 'GitHub', 'Elasticsearch', 'TensorFlow']",2 months,No open-source contribution,No achievements
Dr. Patrick Meyers,Biotechnology,"['autonomous systems', 'mobile app development', 'edge computing']","['robotics', 'quantum computing']","['Objective-C', 'SQL', 'R', 'Java']","['Laravel', 'NestJS', 'Flutter', 'Django']","['Azure', 'TensorFlow', 'Keras', 'PyTorch']","['Keras', 'MongoDB', 'MySQL', 'Docker']",1 week,No open-source contribution,No achievements
Robert Garcia,Information Technology,"['computer architecture', 'reinforcement learning', 'embedded systems']","['IoT', 'game development', 'bioinformatics']","['Objective-C', 'PHP', 'Rust', 'MATLAB', 'Kotlin']",['Ionic'],"['PostgreSQL', 'Google Cloud']","['PyTorch', 'Jenkins']",1 month,Contributed to XYZ project,No achievements
David Wilson,Electrical Engineering,['DevOps'],"['game development', 'web and mobile development']","['JavaScript', 'PHP', 'Python']","['Svelte', 'React', 'React Native', 'Express.js']","['Kubernetes', 'Google Cloud']","['AWS', 'Azure', 'PostgreSQL']",1 month,No open-source contribution,No achievements
Maureen Smith,Civil Engineering,['computational theory'],"['IoT', 'bioinformatics']",['TypeScript'],"['Svelte', 'Laravel']","['Redis', 'Jenkins', 'Kubernetes', 'Azure']","['Keras', 'GitLab', 'AWS']",2 months,No open-source contribution,No achievements
Daniel Brady,Computer Science,"['machine learning', 'computational theory', 'business intelligence']",['artificial intelligence and machine learning'],['C#'],"['Flutter', 'Ionic', 'Next.js']","['Git', 'TensorFlow', 'PyTorch']",['PostgreSQL'],1 month,No open-source contribution,No achievements
David Lyons,Computer Science,['data science'],"['bioinformatics', 'web and mobile development']","['PHP', 'Kotlin', 'Scala', 'Go']","['Nuxt.js', 'Vue.js', 'Flutter']","['Ansible', 'TensorFlow', 'Kubernetes', 'PyTorch']","['Google Cloud', 'GitLab']",2 months,No open-source contribution,Awarded XYZ in Computer Science
Barbara Hansen,Biotechnology,['network engineering'],"['IoT', 'human-computer interaction']","['Go', 'Python', 'Swift', 'R', 'Java']","['Laravel', 'Blitz.js']","['Kubernetes', 'Elasticsearch']","['MySQL', 'MongoDB']",1 week,No open-source contribution,Awarded XYZ in Biotechnology
Deborah Lopez,Biotechnology,"['autonomous systems', 'natural language processing', 'embedded systems']","['cybersecurity', 'quantum computing', 'artificial intelligence and machine learning']","['C#', 'Shell Scripting', 'TypeScript']","['Express.js', 'Meteor', 'Nuxt.js']",['TensorFlow'],"['GitLab', 'Docker']",1 week,No open-source contribution,No achievements
Kylie Howard,Mechanical Engineering,"['mobile app development', 'system architecture']",['bioinformatics'],"['PHP', 'Dart', 'C++', 'JavaScript', 'Shell Scripting']",['Ruby on Rails'],['Kubernetes'],"['TensorFlow', 'MongoDB']",1 week,No open-source contribution,No achievements
James Brown,Electrical Engineering,"['AR/VR', 'software engineering', 'IoT']","['game development', 'robotics', 'web and mobile development']","['Dart', 'Swift']","['Ruby on Rails', 'Next.js', 'Nuxt.js']",['Kubernetes'],"['Jenkins', 'GitLab', 'GitHub']",2 months,No open-source contribution,No achievements
Shawn Ho,Electrical Engineering,"['web app development', 'computational biology']",['blockchain'],"['MATLAB', 'Rust', 'Java', 'SQL']",['Vue.js'],"['GitLab', 'PyTorch']",['AWS'],1 month,No open-source contribution,No achievements
Luis Compton,Electrical Engineering,"['distributed systems', 'robotics', 'deep learning']","['artificial intelligence and machine learning', 'data science and analytics', 'blockchain']","['Python', 'TypeScript']","['Meteor', 'NestJS', 'Django', 'Flask']","['Google Cloud', 'AWS', 'Ansible']","['Kubernetes', 'TensorFlow']",1 month,Contributed to XYZ project,No achievements
Mark Savage,Civil Engineering,['data science'],['IoT'],['MATLAB'],"['Laravel', 'Flutter', 'React']","['Google Cloud', 'Kubernetes']",['Docker'],2 months,No open-source contribution,No achievements
Robin Clark,Civil Engineering,"['DevOps', 'reinforcement learning', 'network engineering']",['data science and analytics'],"['C++', 'Go', 'Kotlin', 'Rust']","['Ionic', 'Next.js', 'Blitz.js']",['Elasticsearch'],"['Docker', 'Azure']",1 week,Contributed to XYZ project,No achievements
Beth Pena,Mechanical Engineering,"['big data', 'business intelligence']",['quantum computing'],"['PHP', 'Shell Scripting']","['Ionic', 'React', 'NestJS']","['AWS', 'GitHub', 'PostgreSQL', 'Azure']",['PostgreSQL'],1 month,Contributed to XYZ project,No achievements
Eric Hanna,Information Technology,"['big data', 'mobile app development', 'AR/VR']",['web and mobile development'],"['Scala', 'Shell Scripting']",['React Native'],"['Jenkins', 'PyTorch']","['Redis', 'Elasticsearch', 'GitLab', 'MongoDB']",1 month,No open-source contribution,No achievements
Tammy Finley MD,Computer Science,"['web app development', 'game development']",['game development'],"['Scala', 'C++']","['Ruby on Rails', 'Next.js']",['MySQL'],['Ansible'],1 week,No open-source contribution,No achievements
Cynthia Sanchez,Information Technology,"['data science', 'blockchain']","['cybersecurity', 'artificial intelligence and machine learning', 'blockchain']","['Ruby', 'MATLAB', 'Rust']","['Svelte', 'Ember.js', 'Nuxt.js', 'Express.js']","['Azure', 'Jenkins', 'Google Cloud']","['Ansible', 'Redis']",1 week,Contributed to XYZ project,No achievements
Mary Garcia,Electrical Engineering,['system architecture'],['IoT'],"['JavaScript', 'Swift', 'R', 'Objective-C', 'Python']","['Vue.js', 'Express.js', 'Ember.js']",['Docker'],"['Keras', 'Redis', 'PyTorch', 'PostgreSQL']",1 month,No open-source contribution,No achievements
Daniel Pratt,Information Technology,"['quantum computing', 'computer vision', 'edge computing']","['artificial intelligence and machine learning', 'data science and analytics', 'web and mobile development']","['Swift', 'Rust', 'MATLAB']","['Express.js', 'Meteor']","['AWS', 'Kubernetes']","['MySQL', 'PyTorch']",1 week,No open-source contribution,No achievements
Krista Park,Mechanical Engineering,"['data engineering', 'IoT']","['IoT', 'blockchain', 'data science and analytics']","['C#', 'Ruby', 'Kotlin', 'SQL', 'PHP']","['Angular', 'Next.js', 'Svelte']","['Keras', 'Elasticsearch']","['TensorFlow', 'Docker', 'AWS']",1 month,No open-source contribution,Awarded XYZ in Mechanical Engineering
Anthony Lopez,Biotechnology,['edge computing'],"['human-computer interaction', 'data science and analytics']","['C++', 'Scala', 'PHP', 'TypeScript', 'Rust']","['React Native', 'Next.js']",['Ansible'],"['Elasticsearch', 'Kubernetes', 'GitLab', 'GitHub']",1 month,No open-source contribution,Awarded XYZ in Biotechnology
David Phillips,Mechanical Engineering,"['system architecture', 'machine learning', 'blockchain']","['blockchain', 'data science and analytics', 'artificial intelligence and machine learning']","['Python', 'Lua', 'PHP', 'Kotlin']","['Flutter', 'Spring Boot', 'Vue.js', 'Ruby on Rails']","['GitHub', 'Elasticsearch', 'Ansible', 'TensorFlow']","['Google Cloud', 'Keras']",2 months,Contributed to XYZ project,No achievements
Brittany Smith,Information Technology,['embedded systems'],['bioinformatics'],"['R', 'C++', 'Swift']","['Django', 'Flutter', 'Laravel']","['Keras', 'Git', 'GitLab', 'AWS']","['Git', 'AWS', 'TensorFlow']",1 week,Contributed to XYZ project,No achievements
Andrea Montoya,Mechanical Engineering,"['embedded systems', 'network engineering']",['human-computer interaction'],"['Scala', 'SQL', 'Kotlin', 'C', 'Ruby']","['Flask', 'Svelte', 'Meteor']","['Azure', 'Keras', 'TensorFlow']",['PostgreSQL'],2 months,No open-source contribution,No achievements
Lori Mills,Electronics and Communication,['machine learning'],"['blockchain', 'IoT']","['PHP', 'Kotlin', 'Java']","['Nuxt.js', 'React']","['TensorFlow', 'Docker', 'Ansible', 'Kubernetes']",['Kubernetes'],1 month,No open-source contribution,Awarded XYZ in Electronics and Communication
Mary Peterson,Information Technology,"['mobile app development', 'parallel computing', 'software engineering']","['web and mobile development', 'quantum computing']","['Lua', 'C', 'C#', 'Kotlin', 'Shell Scripting']","['Nuxt.js', 'Meteor', 'Svelte']","['Docker', 'Elasticsearch', 'Google Cloud']","['Azure', 'Google Cloud', 'Docker', 'GitLab']",1 month,Contributed to XYZ project,No achievements
Kyle Welch,Biotechnology,"['network engineering', 'human-computer interaction']","['human-computer interaction', 'cybersecurity']",['Objective-C'],"['Next.js', 'NestJS', 'Vue.js', 'Laravel']","['Google Cloud', 'Git', 'Elasticsearch', 'GitLab']",['Git'],2 months,No open-source contribution,No achievements
Joyce Dunn,Electrical Engineering,['natural language processing'],"['web and mobile development', 'artificial intelligence and machine learning']",['C#'],"['NestJS', 'Express.js', 'Vue.js', 'Spring Boot']","['PyTorch', 'MongoDB', 'Redis']","['TensorFlow', 'GitHub']",1 month,Contributed to XYZ project,No achievements
Elizabeth Weaver,Information Technology,['computational biology'],['cybersecurity'],"['C', 'Lua', 'PHP', 'Shell Scripting', 'Objective-C']","['Spring Boot', 'Svelte', 'React']","['Redis', 'MySQL', 'Azure', 'GitLab']","['Azure', 'Jenkins', 'GitLab']",1 week,Contributed to XYZ project,No achievements
Clarence Rose,Mechanical Engineering,"['embedded systems', 'blockchain', 'human-computer interaction']","['artificial intelligence and machine learning', 'game development', 'quantum computing']","['Dart', 'Java', 'Shell Scripting']",['Nuxt.js'],"['Redis', 'AWS']","['MongoDB', 'MySQL', 'GitHub', 'Keras']",2 months,Contributed to XYZ project,No achievements
Mary Smith,Civil Engineering,['data visualization'],"['game development', 'quantum computing']","['JavaScript', 'Go']","['Angular', 'Express.js']","['Redis', 'Elasticsearch', 'Google Cloud', 'MySQL']","['Keras', 'MongoDB', 'Google Cloud', 'Docker']",1 month,No open-source contribution,No achievements
Jessica Rodriguez,Electronics and Communication,"['ethical hacking', 'machine learning']",['IoT'],"['C++', 'Objective-C', 'Go']","['Spring Boot', 'Ember.js']","['MongoDB', 'MySQL']",['MongoDB'],2 months,Contributed to XYZ project,Awarded XYZ in Electronics and Communication
Alyssa Smith,Electrical Engineering,"['quantum computing', 'game development', 'business intelligence']","['bioinformatics', 'human-computer interaction', 'data science and analytics']","['Go', 'C']","['Express.js', 'Ruby on Rails', 'React Native']","['MongoDB', 'AWS', 'Docker', 'Ansible']","['Git', 'MongoDB']",1 week,Contributed to XYZ project,No achievements
Andrew Santana,Information Technology,"['natural language processing', 'software engineering', 'digital signal processing']",['web and mobile development'],"['C', 'JavaScript', 'Go', 'Scala', 'Rust']",['Meteor'],"['PyTorch', 'PostgreSQL']","['TensorFlow', 'Docker']",1 week,Contributed to XYZ project,No achievements
Courtney Johnson,Computer Science,['big data'],"['human-computer interaction', 'data science and analytics']","['Java', 'Objective-C']",['Ruby on Rails'],"['MongoDB', 'PostgreSQL', 'Jenkins', 'TensorFlow']",['TensorFlow'],1 month,No open-source contribution,Awarded XYZ in Computer Science
Joseph Andersen,Biotechnology,"['mobile app development', 'AR/VR', 'autonomous systems']",['data science and analytics'],"['C', 'Dart']","['Ruby on Rails', 'Meteor', 'Spring Boot']",['PyTorch'],['PostgreSQL'],2 months,No open-source contribution,No achievements
Michelle Sharp,Biotechnology,"['data science', 'ethical hacking']","['data science and analytics', 'cybersecurity']","['PHP', 'C', 'Dart', 'JavaScript']","['Meteor', 'Vue.js']",['Docker'],"['AWS', 'Redis', 'GitLab', 'MongoDB']",1 week,No open-source contribution,No achievements
Paul Macdonald,Information Technology,"['web app development', 'cloud security']",['IoT'],"['Objective-C', 'Dart', 'C#', 'TypeScript']","['Flutter', 'Laravel']","['TensorFlow', 'TensorFlow', 'MySQL']","['Jenkins', 'Google Cloud']",2 months,Contributed to XYZ project,Awarded XYZ in Information Technology
Gina Hamilton,Civil Engineering,"['algorithms', 'deep learning', 'generative AI']","['game development', 'web and mobile development', 'quantum computing']","['Lua', 'R', 'Kotlin', 'Python', 'Rust']",['Flask'],"['Keras', 'Jenkins']",['Elasticsearch'],1 month,No open-source contribution,No achievements
Nicholas Jones,Civil Engineering,"['distributed systems', 'generative AI', 'human-computer interaction']","['bioinformatics', 'artificial intelligence and machine learning', 'human-computer interaction']","['C#', 'Java', 'Objective-C', 'PHP']","['Svelte', 'Ember.js', 'Ionic']",['Elasticsearch'],['Kubernetes'],1 week,Contributed to XYZ project,No achievements
Scott Sanchez,Computer Science,['blockchain'],['human-computer interaction'],"['C++', 'Swift', 'Shell Scripting', 'Dart', 'SQL']","['Meteor', 'Spring Boot', 'Express.js', 'Nuxt.js']","['MongoDB', 'TensorFlow']",['Google Cloud'],1 month,No open-source contribution,No achievements
Matthew Pierce,Electrical Engineering,['machine learning'],"['artificial intelligence and machine learning', 'bioinformatics']","['Java', 'Python']","['Ember.js', 'Blitz.js', 'Laravel']","['AWS', 'TensorFlow', 'MongoDB']","['Docker', 'Azure']",1 week,No open-source contribution,No achievements
Emily Torres,Electronics and Communication,['computer vision'],"['data science and analytics', 'bioinformatics']","['C#', 'Kotlin', 'Objective-C']",['Ionic'],['Jenkins'],['MySQL'],2 months,Contributed to XYZ project,No achievements
Donald Villa,Electrical Engineering,"['business intelligence', 'data science']","['IoT', 'data science and analytics']","['C++', 'Scala', 'R']",['Vue.js'],"['TensorFlow', 'Kubernetes', 'GitHub']","['GitLab', 'Ansible', 'MongoDB']",1 month,No open-source contribution,Awarded XYZ in Electrical Engineering
David Paul,Mechanical Engineering,"['artificial intelligence', 'cryptography']","['quantum computing', 'bioinformatics']","['PHP', 'Swift', 'C', 'MATLAB']","['Flask', 'Nuxt.js', 'Flutter', 'React Native']","['PostgreSQL', 'Keras']","['GitLab', 'Docker', 'Jenkins', 'GitHub']",2 months,No open-source contribution,Awarded XYZ in Mechanical Engineering
Kathleen Hughes,Information Technology,"['cryptography', 'edge computing']",['IoT'],"['C++', 'C#', 'Swift', 'Ruby', 'Dart']","['React Native', 'Flask', 'Spring Boot']","['Jenkins', 'Elasticsearch']","['TensorFlow', 'Keras', 'Git', 'MongoDB']",1 month,No open-source contribution,No achievements
David Gutierrez,Computer Science,"['robotics', 'AR/VR', 'computational theory']","['data science and analytics', 'human-computer interaction', 'cybersecurity']","['JavaScript', 'Objective-C', 'Kotlin']","['Svelte', 'Angular']",['MongoDB'],"['TensorFlow', 'Azure', 'Ansible']",1 month,No open-source contribution,No achievements
Brandon Fitzpatrick,Electrical Engineering,"['computational biology', 'network engineering']","['bioinformatics', 'human-computer interaction', 'artificial intelligence and machine learning']","['Ruby', 'SQL']","['Flutter', 'Svelte', 'React Native']","['GitLab', 'Google Cloud', 'Docker']","['Git', 'Keras', 'PostgreSQL', 'Jenkins']",2 months,No open-source contribution,No achievements
